Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0385353308""","=""9780385353304""",0,4.07,Knopf,Hardcover,333,2014,2014,,2020/12/28,to-read,to-read (#383),to-read,,,,0,0
54659324,"Dungeon Crawler Carl (Dungeon Crawler Carl, #1)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",3,4.54,Dandy House,Kindle Edition,446,2020,2020,2023/09/20,2022/08/27,,,read,I really enjoyed the bits that didn't make me really uncomfortable.,,,1,0
36450327,Coraline,Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",0,4.12,HarperAudio,Audible Audio,4,2003,2002,,2023/09/19,to-read,to-read (#382),to-read,,,,0,0
59102153,"Cold as Hell (Black Badge, #1)",Rhett C. Bruno,"Bruno, Rhett C.",Jaime Castle,"=""""","=""9798200710676""",2,4.01,Blackstone Publishing,Hardcover,454,2022,2022,2023/09/16,2023/09/10,,,read,,,,1,0
266607,"Valiant (Modern Faerie Tales, #2)",Holly Black,"Black, Holly",,"=""0689868235""","=""9780689868238""",4,3.82,Simon Pulse,Paperback,314,2006,2005,2008/10/01,2023/09/16,,,read,,,,1,0
394535,"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,"McCarthy, Cormac",,"=""""","=""""",0,4.16,Vintage Books,Paperback,351,1992,1985,,2023/02/15,abandoned,abandoned (#33),abandoned,,,,0,0
28251250,White Noise,Don DeLillo,"DeLillo, Don",,"=""0143129554""","=""9780143129554""",0,3.86,Penguin Classics,Paperback,320,2016,1985,,2023/08/24,abandoned,abandoned (#32),abandoned,,,,0,0
41819137,Scientific Secrets for a Powerful Memory,Peter M. Vishton,"Vishton, Peter M.",,"=""1598039660""","=""9781598039665""",4,3.71,The Teaching Company,Audio CD,3,2012,2019,2023/09/09,2023/06/14,,,read,I was going for 2* till the last section which was most useful.,,,1,0
18045891,Sharp Objects,Gillian Flynn,"Flynn, Gillian",,"=""""","=""""",5,4.02,Broadway Paperbacks,Paperback,254,2007,2006,2023/09/07,2022/08/22,,,read,,,,1,0
42527493,Race After Technology: Abolitionist Tools for the New Jim Code,Ruha Benjamin,"Benjamin, Ruha",,"=""1509526439""","=""9781509526437""",0,4.27,Polity Press,ebook,172,2019,2019,,2023/09/06,to-read,to-read (#381),to-read,,,,0,0
34762552,Algorithms of Oppression: How Search Engines Reinforce Racism,Safiya Umoja Noble,"Noble, Safiya Umoja",,"=""1479837245""","=""9781479837243""",0,3.90,NYU Press,Paperback,248,2018,2018,,2023/09/06,to-read,to-read (#380),to-read,,,,0,0
241823,Women Who Run With the Wolves,Clarissa Pinkola Estés,"Estés, Clarissa Pinkola",,"=""0345409876""","=""9780345409874""",4,4.13,Ballantine Books,Paperback,537,1995,1992,2023/09/03,2023/01/09,,,read,,,,1,0
58552179,Hellion (Awaken Online #5),Travis Bagwell,"Bagwell, Travis",David Stifel,"=""""","=""""",3,4.69,"STAB Publishing, LLC",Audible Audio,30,2021,2021,2023/09/02,2023/08/04,,,read,,,,1,0
18373,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""""","=""""",5,4.21,Harvest Books,Paperback,311,2005,1966,2020/12/06,2023/08/24,,,read,,,,2,0
21981650,The Original Folk and Fairy Tales of the Brothers Grimm,Jacob Grimm,"Grimm, Jacob","Wilhelm Grimm, Jack D. Zipes, Andrea Dezso","=""0691160597""","=""9780691160597""",0,4.28,Princeton University Press,Hardcover,568,2014,1812,,2021/10/04,abandoned,abandoned (#6),abandoned,,,,0,0
18122,"The Amber Spyglass (His Dark Materials, #3)",Philip Pullman,"Pullman, Philip",,"=""0440238153""","=""9780440238157""",4,4.10,Laurel Leaf,Mass Market Paperback,465,2003,2000,,2019/05/16,,,read,,,,2,0
45728081,Azarinth Healer,Rhaegar,"Rhaegar, Rhaegar",,"=""""","=""""",0,4.33,Royalroad,ebook,7000,,,,2023/01/06,to-read,to-read (#297),to-read,,,,0,0
35428179,"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,"Pullman, Philip",,"=""""","=""""",3,4.15,Knopf Books for Young Readers,Kindle Edition,304,2017,1997,2023/08/03,2023/07/31,,,read,"Felt disjointed and surprisingly predictable. Also, why did the angels looking for the subtle knife apparently for eons not consider looking, you know, at the temple it was created and looked after for ages? Instead waiting for it to be stolen and following some Shaman instead?<br/><br/>Lyra choosing to not use the alethiometer as a promise to Will, or because she felt bad snooping, were transparent efforts to prevent a overly powerful plot device from ruining the rest of the plot. ""Where is Will's father?"", ""will we be attacked at any point, if so when and how do we circumvent it?""<br/><br/>Also, why didn't Will just cut through to another realm, one safe as guided by the alethiometer, to travel through instead of the world filled with adult soul eaters?<br/><br/>The first book had Lyra often alone making these kind of decisions which makes sense, a child is bound to be less than optimal in their decision making. But when a clan of witches with centuries of experience why couldn't they provide any guidance?",true,,1,0
9651654,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",,"=""0307744663""","=""9780307744661""",0,4.01,Vintage,Mass Market Paperback,389,2011,1987,,2023/08/01,to-read,to-read (#379),to-read,,,,0,0
148081865,Untypical: How the World Isn’t Built for Autistic People and What We Should All Do About it,Pete Wharmby,"Wharmby, Pete",,"=""""","=""9780008529291""",0,4.38,HarperCollins,Audiobook,7,2023,,,2023/07/30,to-read,to-read (#378),to-read,,,,0,0
24963101,"Northern Lights (His Dark Materials, #1)",Philip Pullman,"Pullman, Philip",,"=""""","=""""",5,4.02,RHCP Digital,Kindle Edition,456,2015,1995,2023/07/29,2023/07/21,,,read,Even better than I remember from reading it decades ago.,,,1,0
29396,"Furies of Calderon (Codex Alera, #1)",Jim Butcher,"Butcher, Jim",,"=""044101268X""","=""9780441012688""",5,4.13,Ace,Paperback,688,2005,2004,2015/08/03,2015/07/23,,,read,,,,2,0
2493,The Time Machine,H.G. Wells,"Wells, H.G.","Greg Bear, Carlo Pagetti","=""""","=""""",0,3.90,Signet Classics,Paperback,118,2002,1895,,2023/07/19,to-read,to-read (#377),to-read,,,,0,0
42950440,"Heaven's River (Bobiverse, #4)",Dennis E. Taylor,"Taylor, Dennis E.",Ray Porter,"=""""","=""""",3,4.29,Audible Studios,Audible Audio,17,2020,2020,2023/07/19,2023/07/06,,,read,I enjoyed the ending but the main story felt very un-bobiverse.,,,1,0
36809135,Where the Crawdads Sing,Delia Owens,"Owens, Delia",,"=""0735219117""","=""9780735219113""",0,4.39,G.P. Putnam’s Sons,ebook,384,2018,2018,,2023/07/17,to-read,to-read (#376),to-read,,,,0,0
35506021,"All These Worlds (Bobiverse, #3)",Dennis E. Taylor,"Taylor, Dennis E.",,"=""""","=""""",3,4.40,Worldbuilders Press,Kindle Edition,336,2017,2017,2023/07/07,2023/07/06,,,read,"Strange ending, feels like it could be the end of the series but isn't. Enjoyable otherwise. Fails the Bechdel test.",true,,1,0
