Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,read_dates,genres,n_ratings
14942,Mrs. Dalloway,Virginia Woolf,"Woolf, Virginia",Maureen Howard,"=""0151009988""","=""9780151009985""",0,3.79,Houghton Mifflin Harcourt,Hardcover,194,2002,1925,,2024/04/18,to-read,to-read (#453),to-read,,,,0,0,,Fiction|5697;Books I Own|1430;Classic|1399;Literature|892;Novels|661;Feminism|643,313375
60604264,"The Primal Hunter 2 (The Primal Hunter, #2)",Zogarth,"Zogarth, Zogarth",,"=""""","=""""",4,4.51,Aethon Books,Kindle Edition,740,2022,2022,2024/04/16,2024/04/10,,,read,,,,1,0,"2024-04-10,2024-04-16",Litrpg|208;Fantasy|118;Lit Rpg|29;Audible|21,8387
211179973,He Who Fights with Monsters 11 (He Who Fights with Monsters #11),Shirtaloon,"Shirtaloon, Shirtaloon",Travis Deverell,"=""""","=""""",0,4.45,Aethon Books,Kindle Edition,984,2024,2024,,2024/04/12,to-read,to-read (#451),to-read,,,,0,0,,Litrpg|14;Fantasy|8;Audible|2,142
43263515,The Monster of Elendhaven,Jennifer Giesbrecht,"Giesbrecht, Jennifer",,"=""125022568X""","=""9781250225689""",5,3.56,Tordotcom,Hardcover,160,2019,2019,2024/04/10,2020/06/08,,,read,Beautifully written LGBT story where the characters are LGBT rather than being about the characters being LGBT. Thoroughly enjoyed this.,,,1,0,"2024-04-10,2024-04-10",Horror|1247;Fantasy|903;Lgbt|273;Novella|212;Fiction|189;Lgbtq|184;Adult|153;Queer|136,9550
16056498,The Autistic Brain: Thinking Across the Spectrum,Temple Grandin,"Grandin, Temple",Richard Panek,"=""0547636458""","=""9780547636450""",0,4.11,Houghton Mifflin Harcourt,Hardcover,240,2013,2013,,2024/04/10,to-read,to-read (#450),to-read,,,,0,0,,Non Fiction|592;Autism|298;Psychology|279;Nonfiction|264;Science|200;Biography|63,9753
60111529,"The Primal Hunter (The Primal Hunter, #1)",Zogarth,"Zogarth, Zogarth",,"=""""","=""""",4,4.29,Aethon Books,Kindle Edition,716,2022,2022,2024/04/09,2024/03/28,,,read,,,,1,0,"2024-03-28,2024-04-09",Litrpg|319;Fantasy|200;Lit Rpg|34,12163
17061,Coraline,Neil Gaiman,"Gaiman, Neil",Dave McKean,"=""0061139378""","=""9780061139376""",4,4.12,William Morrow Paperbacks,Paperback,176,2006,2002,2024/04/09,2024/04/09,,,read,,,,2,0,"2024-04-09,2024-04-09;,2024-04-09",Fantasy|13873;Horror|6723;Fiction|4909;Young Adult|3752;Middle Grade|2461;Childrens|2258;Ya|1714;Books I Own|1590;Children|1500,707959
32075671,"The Hate U Give (The Hate U Give, #1)",Angie Thomas,"Thomas, Angie",,"=""""","=""""",4,4.47,Balzer + Bray,Hardcover,454,2017,2017,2024/04/06,2023/02/04,,,read,,,,1,0,"2024-04-04,2024-04-06",Young Adult|10921;Fiction|7513;Ya|6811;Contemporary|5479;Books I Own|2939;Book Club|2138;Audiobooks|1945;Realistic Fiction|1603;Race|1193,919906
53959173,The Wind in the Willows,Kenneth Grahame,"Grahame, Kenneth",,"=""1405297824""","=""9781405297820""",0,4.01,Egmont,Hardcover,224,2024,1908,,2024/04/06,to-read,to-read (#449),to-read,,,,0,0,,Classics|6639;Fiction|2825;Childrens|2098;Fantasy|1929;Children|1366;Classic|1153;Children S|991;Books I Own|860;Children S Books|725,222437
62586003,Ultra-Processed People: The Science Behind Food That Isn't Food,Chris van Tulleken,"Tulleken, Chris van",,"=""1324036729""","=""9781324036722""",4,4.43,W. W. Norton & Company,Hardcover,384,2023,2023,2024/04/04,2024/01/02,,,read,,,,1,0,"2024-04-03,2024-04-04",Non Fiction|837;Health|366;Nonfiction|335;Science|295;Food|241;Audiobooks|135;Nutrition|91,19510
